Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0012365,5.5511E-17,0.028671,0,0,0,5.8419,0.026264,1.0418E-17,-0.00041705,0.069583,2.7871E-19,0.090006,0,0,0,0,0,0,package://hexapod_description2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod_description2/meshes/base_link.STL,,机身3-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rfl1,0,0,0.0013145,0,0,0,0.21339,0.00012608,9.0278E-36,4.9365E-21,0.00012608,2.9395E-20,0.0002122,0,0,0,0,0,0,package://hexapod_description2/meshes/rfl1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rfl1.STL,,RF-1/简化L1-1,坐标系1,基准轴1,rfj1,continuous,0.14185,-0.0655,-0.01975,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
rfl2,-0.032218,-0.0039271,6.5321E-07,0,0,0,0.24576,0.00032109,1.701E-05,-2.8611E-09,0.0001444,1.9556E-08,0.00023844,0,0,0,0,0,0,package://hexapod_description2/meshes/rfl2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rfl2.STL,,RF-1/简化L2-2;RF-1/简化L3-4,坐标系2,基准轴2,rfj2,continuous,0.0385,0,-0.06575,0,0,0,rfl1,-1,0,0,,,,,,,,,,,,
rfl3,-5.5511E-17,-0.13449,-2.7756E-17,0,0,0,0.012147,7.0059E-05,-2.3451E-20,-5.131E-15,2.025E-06,1.5776E-22,6.9843E-05,0,0,0,0,0,0,package://hexapod_description2/meshes/rfl3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rfl3.STL,,RF-1/简化L4-3,坐标系3,基准轴3,rfj3,continuous,0.02875,-0.216,0,0,0,0,rfl2,1,0,0,,,,,,,,,,,,
lfl4,0,2.7756E-17,0.0013145,0,0,0,0.21339,0.00012608,-3.0093E-36,4.2306E-21,0.00012608,1.1603E-20,0.0002122,0,0,0,0,0,0,package://hexapod_description2/meshes/lfl4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lfl4.STL,,LF-1/简化L1-1,坐标系4,基准轴4,lfj4,continuous,0.14185,0.0655,-0.01975,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
lfl5,-0.032218,0.0039271,-6.544E-07,0,0,0,0.24576,0.00032109,-1.701E-05,2.8028E-09,0.0001444,1.9556E-08,0.00023844,0,0,0,0,0,0,package://hexapod_description2/meshes/lfl5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lfl5.STL,,LF-1/简化L2-2;LF-1/简化L3-4,坐标系5,基准轴5,lfj5,continuous,0.0385,0,-0.06575,0,0,0,lfl4,-1,0,0,,,,,,,,,,,,
lfl6,-3.2585E-14,0.13449,0.00015249,0,0,0,0.012147,7.0059E-05,3.0351E-18,5.131E-15,2.0251E-06,-7.6896E-08,6.9843E-05,0,0,0,0,0,0,package://hexapod_description2/meshes/lfl6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lfl6.STL,,LF-1/简化L4-3,坐标系6,基准轴6,lfj6,continuous,0.0287500000000004,0.216,0,0,0,0,lfl5,1,0,0,,,,,,,,,,,,
rml7,-0.0017584,-1.3878E-17,0.00056229,0,0,0,0.22267,0.00013154,2.47E-21,-6.7784E-06,0.00014688,3.0123E-20,0.00023263,0,0,0,0,0,0,package://hexapod_description2/meshes/rml7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rml7.STL,,简化-2,坐标系7,基准轴7,rmj7,continuous,0,-0.0655,-0.01975,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
rml8,-0.0587261224930773,-0.000532880509906325,-5.88251406696827E-07,0,0,0,0.273391828190981,0.000365879968645106,-5.5840235668393E-05,-2.86238071922877E-09,0.000221339350714085,-1.958510767732E-08,0.00034054404531645,0,0,0,0,0,0,package://hexapod_description2/meshes/rml8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rml8.STL,,简化2-2;LM3-5/简化L3-4,坐标系8,基准轴8,rmj8,continuous,0.02875,0,-0.06575,0,0,0,rml7,1,0,0,,,,,,,,,,,,
rml9,3.25295346215171E-14,-0.134485559698129,0.000152488307947479,0,0,0,0.0121471500234535,7.00586529163585E-05,3.0178462755213E-18,-5.13096249593542E-15,2.02512865251898E-06,7.68961629128491E-08,6.98428593223181E-05,0,0,0,0,0,0,package://hexapod_description2/meshes/rml9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rml9.STL,,LM3-5/简化L4-3,坐标系9,基准轴9,rmj9,continuous,-0.02875,-0.216,0,0,0,0,rml8,-1,0,0,,,,,,,,,,,,
lml10,-0.0017584,-2.7756E-17,0.00056229,0,0,0,0.22267,0.00013154,8.8324E-21,-6.7784E-06,0.00014688,2.7943E-21,0.00023263,0,0,0,0,0,0,package://hexapod_description2/meshes/lml10.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lml10.STL,,简化-1,坐标系10,基准轴10,lmj10,continuous,0,0.0655,-0.01975,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
lml11,-0.0587261224930773,0.000532880509906242,5.88251406696827E-07,0,0,0,0.273391828190982,0.000365879968645106,5.5840235668393E-05,2.86238071938836E-09,0.000221339350714085,-1.9585107677359E-08,0.000340544045316451,0,0,0,0,0,0,package://hexapod_description2/meshes/lml11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lml11.STL,,LM3-4/简化L3-4;简化2-1,坐标系11,基准轴11,lmj11,continuous,0.02875,0,-0.06575,0,0,0,lml10,1,0,0,,,,,,,,,,,,
lml12,3.26960680752109E-14,0.134485559698129,-0.000152488307947535,0,0,0,0.0121471500234535,7.00586529163585E-05,-3.08130709209099E-18,5.13096271676089E-15,2.02512865251898E-06,7.68961629128673E-08,6.9842859322318E-05,0,0,0,0,0,0,package://hexapod_description2/meshes/lml12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lml12.STL,,LM3-4/简化L4-3,坐标系12,基准轴12,lmj12,continuous,-0.02875,0.216,0,0,0,0,lml11,-1,0,0,,,,,,,,,,,,
rbl13,0,0,0.0013145,0,0,0,0.21339,0.00012608,-6.0185E-36,-1.0408E-20,0.00012608,3.5349E-20,0.0002122,0,0,0,0,0,0,package://hexapod_description2/meshes/rbl13.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rbl13.STL,,RB-1/简化L1-1,坐标系13,基准轴13,rbj13,continuous,-0.14185,-0.0655,-0.01975,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
rbl14,0.032218,-0.0039271,-6.544E-07,0,0,0,0.24576,0.00032109,-1.701E-05,-2.8028E-09,0.0001444,-1.9556E-08,0.00023844,0,0,0,0,0,0,package://hexapod_description2/meshes/rbl14.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rbl14.STL,,RB-1/简化L2-2;RB-1/简化L3-4,坐标系14,基准轴14,rbj14,continuous,-0.0385,0,-0.06575,0,0,0,rbl13,1,0,0,,,,,,,,,,,,
rbl15,-9.77E-15,-0.13449,-4.4688E-05,0,0,0,0.012147,7.0059E-05,-9.1384E-19,-5.131E-15,2.025E-06,-2.2535E-08,6.9843E-05,0,0,0,0,0,0,package://hexapod_description2/meshes/rbl15.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/rbl15.STL,,RB-1/简化L4-3,坐标系15,基准轴15,rbj15,continuous,-0.02875,-0.216,0,0,0,0,rbl14,-1,0,0,,,,,,,,,,,,
lbl16,0,0,0.0013145,0,0,0,0.21339,0.00012608,6.0185E-36,-1.2975E-20,0.00012608,5.4242E-21,0.0002122,0,0,0,0,0,0,package://hexapod_description2/meshes/lbl16.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lbl16.STL,,LB-1/简化L1-1,坐标系16,基准轴16,lbj16,continuous,-0.14185,0.0655,-0.01975,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
lbl17,0.032218,0.0039271,6.5321E-07,0,0,0,0.24576,0.00032109,1.701E-05,2.8611E-09,0.0001444,-1.9556E-08,0.00023844,0,0,0,0,0,0,package://hexapod_description2/meshes/lbl17.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lbl17.STL,,LB-1/简化L3-4;LB-1/简化L2-2,坐标系17,基准轴17,lbj17,continuous,-0.0385,0,-0.06575,0,0,0,lbl16,1,0,0,,,,,,,,,,,,
lbl18,-2.3759E-14,0.13449,0.00011183,0,0,0,0.012147,7.0059E-05,2.2205E-18,5.131E-15,2.0251E-06,-5.6393E-08,6.9843E-05,0,0,0,0,0,0,package://hexapod_description2/meshes/lbl18.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hexapod_description2/meshes/lbl18.STL,,LB-1/简化L4-3,坐标系18,基准轴18,lbj18,continuous,-0.02875,0.216,0,0,0,0,lbl17,-1,0,0,,,,,,,,,,,,
